,RegionName,State,Latitude,Longitude
0,New York,NY,40.7127753,-74.0059728
1,Los Angeles,CA,34.0522342,-118.2436849
2,Houston,TX,29.7604267,-95.3698028
3,Chicago,IL,41.8781136,-87.6297982
4,San Antonio,TX,29.4241219,-98.49362819999999
5,Philadelphia,PA,39.9525839,-75.1652215
6,Phoenix,AZ,33.4483771,-112.0740373
7,Las Vegas,NV,36.1699412,-115.1398296
8,San Diego,CA,32.715738,-117.1610838
9,Dallas,TX,32.7766642,-96.79698789999999
10,Austin,TX,30.267153,-97.7430608
11,San Jose,CA,37.3382082,-121.8863286
12,Jacksonville,FL,30.3321838,-81.65565099999999
13,Indianapolis,IN,39.768403,-86.158068
14,San Francisco,CA,37.7749295,-122.4194155
15,Charlotte,NC,35.2270869,-80.8431267
16,Fort Worth,TX,32.7554883,-97.3307658
17,Tucson,AZ,32.2226066,-110.9747108
18,Columbus,OH,39.9611755,-82.99879419999999
19,Louisville,KY,38.2526647,-85.7584557
20,Orlando,FL,28.5383355,-81.3792365
21,El Paso,TX,31.7618778,-106.4850217
22,Denver,CO,39.7392358,-104.990251
23,Seattle,WA,47.6062095,-122.3320708
24,Memphis,TN,35.1495343,-90.0489801
25,Boston,MA,42.3600825,-71.0588801
26,Washington,DC,38.9071923,-77.0368707
27,Portland,OR,45.5051064,-122.6750261
28,Nashville,TN,36.1626638,-86.7816016
29,Sacramento,CA,38.5815719,-121.4943996
30,Baltimore,MD,39.2903848,-76.6121893
31,Milwaukee,WI,43.0389025,-87.9064736
32,Fresno,CA,36.7377981,-119.7871247
33,Omaha,NE,41.2565369,-95.9345034
34,Albuquerque,NM,35.0843859,-106.650422
35,Oklahoma City,OK,35.4675602,-97.5164276
36,Raleigh,NC,35.7795897,-78.6381787
37,Mesa,AZ,33.4151843,-111.8314724
38,Miami,FL,25.7616798,-80.1917902
39,Atlanta,GA,33.7489954,-84.3879824
40,Kansas City,MO,39.0997265,-94.5785667
41,Colorado Springs,CO,38.8338816,-104.8213634
42,Long Beach,CA,33.7700504,-118.1937395
43,Virginia Beach,VA,36.8529263,-75.97798499999999
44,Oakland,CA,37.8043514,-122.2711639
45,Tulsa,OK,36.1539816,-95.99277500000001
46,Minneapolis,MN,44.977753,-93.2650108
47,Honolulu,HI,21.3069444,-157.8583333
48,Cleveland,OH,41.49932,-81.6943605
49,New Orleans,LA,29.95106579999999,-90.0715323
50,Arlington,TX,32.735687,-97.10806559999999
51,Knoxville,TN,35.9606384,-83.9207392
52,Baton Rouge,LA,30.4514677,-91.18714659999999
53,San Juan,LA,18.4571239,-66.0741784
